Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 CON2PX	 CON2PY	 CON2PZ	 
226.6	 221540	 222682	 222682	 -267	 0	 0	 
226.7	 221762	 222676	 222676	 -267	 0	 0	 
226.8	 221634	 222681	 222681	 -267	 0	 0	 
226.9	 221192	 222701	 222701	 -267	 0	 0	 
227	 220623	 222744	 222744	 -267	 0	 0	 
227.1	 220188	 222804	 222804	 -267	 0	 0	 
227.2	 220039	 222880	 222880	 -267	 0	 0	 
227.3	 220220	 222963	 222963	 -267	 0	 0	 
227.4	 220604	 223045	 223045	 -267	 0	 0	 
227.5	 220977	 223124	 223124	 -267	 0	 0	 
227.6	 221153	 223191	 223191	 -267	 0	 0	 
227.7	 221036	 223249	 223249	 -267	 0	 0	 
227.8	 220692	 223296	 223296	 -267	 0	 0	 
227.9	 220293	 223334	 223334	 -267	 0	 0	 
228	 220032	 223361	 223361	 -267	 0	 0	 
228.1	 220047	 223378	 223378	 -267	 0	 0	 
228.2	 220326	 223382	 223382	 -267	 0	 0	 
228.3	 220748	 223374	 223374	 -267	 0	 0	 
228.4	 221123	 223353	 223353	 -267	 0	 0	 
228.5	 221304	 223324	 223324	 -267	 0	 0	 
228.6	 221261	 223293	 223293	 -267	 0	 0	 
228.7	 221079	 223259	 223259	 -267	 0	 0	 
228.8	 220931	 223226	 223226	 -267	 0	 0	 
228.9	 220967	 223192	 223192	 -267	 0	 0	 
229	 221253	 223151	 223151	 -267	 0	 0	 
229.1	 221743	 223105	 223105	 -267	 0	 0	 
229.2	 222290	 223049	 223049	 -267	 0	 0	 
229.3	 222739	 222986	 222986	 -267	 0	 0	 
229.4	 222987	 222921	 222921	 -267	 0	 0	 
229.5	 223024	 222855	 222855	 -267	 0	 0	 
229.6	 222945	 222797	 222797	 -267	 0	 0	 
229.7	 222875	 222743	 222743	 -267	 0	 0	 
229.8	 222929	 222695	 222695	 -267	 0	 0	 
229.9	 223141	 222651	 222651	 -267	 0	 0	 
230	 223461	 222606	 222606	 -267	 0	 0	 
230.1	 223780	 222563	 222563	 -267	 0	 0	 
